,time,point_idx,ten9_comp,Total Stress,S3 Magnitude
339,-1.0,37,zx,-0.02144268,-7.8373544e+07
340,-1.0,37,zy,-31.060911,-7.8373544e+07
341,-1.0,37,zz,-9.7652376e+07,-7.8373544e+07
342,-1.0,38,xx,-7.8373544e+07,-7.8373544e+07
343,-1.0,38,xy,-0.011824966,-7.8373544e+07
344,-1.0,38,xz,-0.03360647,-7.8373544e+07
345,-1.0,38,yx,-0.011824966,-7.8373544e+07
346,-1.0,38,yy,-7.837362e+07,-7.8373544e+07
347,-1.0,38,yz,-31.678848,-7.8373544e+07
348,-1.0,38,zx,-0.03360647,-7.8373544e+07
349,-1.0,38,zy,-31.678848,-7.8373544e+07
350,-1.0,38,zz,-9.765237e+07,-7.8373544e+07
351,-1.0,39,xx,-7.8373544e+07,-7.8373544e+07
352,-1.0,39,xy,0.0020128048,-7.8373544e+07
353,-1.0,39,xz,-0.0136013,-7.8373544e+07
354,-1.0,39,yx,0.0020128048,-7.8373544e+07
355,-1.0,39,yy,-7.837362e+07,-7.8373544e+07
356,-1.0,39,yz,-32.273895,-7.8373544e+07
357,-1.0,39,zx,-0.0136013,-7.8373544e+07
358,-1.0,39,zy,-32.273895,-7.8373544e+07
359,-1.0,39,zz,-9.765237e+07,-7.8373544e+07
360,-1.0,40,xx,-7.8373544e+07,-7.8373544e+07
361,-1.0,40,xy,0.014872661,-7.8373544e+07
362,-1.0,40,xz,0.0017502719,-7.8373544e+07
363,-1.0,40,yx,0.014872661,-7.8373544e+07
364,-1.0,40,yy,-7.837362e+07,-7.8373544e+07
365,-1.0,40,yz,-32.874138,-7.8373544e+07
366,-1.0,40,zx,0.0017502719,-7.8373544e+07
367,-1.0,40,zy,-32.874138,-7.8373544e+07
368,-1.0,40,zz,-9.765237e+07,-7.8373544e+07
369,-1.0,41,xx,-7.8373544e+07,-7.8373544e+07
370,-1.0,41,xy,0.021973874,-7.8373544e+07
371,-1.0,41,xz,-0.004198498,-7.8373544e+07
372,-1.0,41,yx,0.021973874,-7.8373544e+07
373,-1.0,41,yy,-7.837362e+07,-7.8373544e+07
374,-1.0,41,yz,-33.450108,-7.8373544e+07
375,-1.0,41,zx,-0.004198498,-7.8373544e+07
376,-1.0,41,zy,-33.450108,-7.8373544e+07
377,-1.0,41,zz,-9.765237e+07,-7.8373544e+07
378,-1.0,42,xx,-7.8373544e+07,-7.8373544e+07
379,-1.0,42,xy,0.02642011,-7.8373544e+07
380,-1.0,42,xz,-0.012921872,-7.8373544e+07
381,-1.0,42,yx,0.02642011,-7.8373544e+07
382,-1.0,42,yy,-7.837362e+07,-7.8373544e+07
383,-1.0,42,yz,-34.051178,-7.8373544e+07
384,-1.0,42,zx,-0.012921872,-7.8373544e+07
385,-1.0,42,zy,-34.051178,-7.8373544e+07
386,-1.0,42,zz,-9.765237e+07,-7.8373544e+07
387,-1.0,43,xx,-7.8373544e+07,-7.8373544e+07
388,-1.0,43,xy,0.012509447,-7.8373544e+07
389,-1.0,43,xz,-0.017774511,-7.8373544e+07
390,-1.0,43,yx,0.012509447,-7.8373544e+07
391,-1.0,43,yy,-7.837362e+07,-7.8373544e+07
392,-1.0,43,yz,-34.55877,-7.8373544e+07
393,-1.0,43,zx,-0.017774511,-7.8373544e+07
394,-1.0,43,zy,-34.55877,-7.8373544e+07
395,-1.0,43,zz,-9.765237e+07,-7.8373544e+07
396,-1.0,44,xx,-7.8373544e+07,-7.8373544e+07
397,-1.0,44,xy,-0.0024246392,-7.8373544e+07
398,-1.0,44,xz,-0.023879718,-7.8373544e+07
399,-1.0,44,yx,-0.0024246392,-7.8373544e+07
400,-1.0,44,yy,-7.837362e+07,-7.8373544e+07
401,-1.0,44,yz,-35.063374,-7.8373544e+07
402,-1.0,44,zx,-0.023879718,-7.8373544e+07
403,-1.0,44,zy,-35.063374,-7.8373544e+07
404,-1.0,44,zz,-9.765237e+07,-7.8373544e+07
405,-1.0,45,xx,-7.837354e+07,-7.837354e+07
406,-1.0,45,xy,-0.015350577,-7.837354e+07
407,-1.0,45,xz,-0.0018794588,-7.837354e+07
408,-1.0,45,yx,-0.015350577,-7.837354e+07
409,-1.0,45,yy,-7.837362e+07,-7.837354e+07
410,-1.0,45,yz,-35.60423,-7.837354e+07
411,-1.0,45,zx,-0.0018794588,-7.837354e+07
412,-1.0,45,zy,-35.60423,-7.837354e+07
413,-1.0,45,zz,-9.765237e+07,-7.837354e+07
414,-1.0,46,xx,-7.837354e+07,-7.837354e+07
415,-1.0,46,xy,-0.002731969,-7.837354e+07
416,-1.0,46,xz,-0.006780835,-7.837354e+07
417,-1.0,46,yx,-0.002731969,-7.837354e+07
418,-1.0,46,yy,-7.837362e+07,-7.837354e+07
419,-1.0,46,yz,-36.069237,-7.837354e+07
420,-1.0,46,zx,-0.006780835,-7.837354e+07
421,-1.0,46,zy,-36.069237,-7.837354e+07
422,-1.0,46,zz,-9.765236e+07,-7.837354e+07
423,-1.0,47,xx,-7.837354e+07,-7.837354e+07
424,-1.0,47,xy,0.007887939,-7.837354e+07
425,-1.0,47,xz,-0.011216054,-7.837354e+07
426,-1.0,47,yx,0.007887939,-7.837354e+07
427,-1.0,47,yy,-7.837362e+07,-7.837354e+07
428,-1.0,47,yz,-36.526012,-7.837354e+07
429,-1.0,47,zx,-0.011216054,-7.837354e+07
430,-1.0,47,zy,-36.526012,-7.837354e+07
431,-1.0,47,zz,-9.765236e+07,-7.837354e+07
432,-1.0,48,xx,-7.837354e+07,-7.837354e+07
433,-1.0,48,xy,0.002894017,-7.837354e+07
434,-1.0,48,xz,-0.015734479,-7.837354e+07
435,-1.0,48,yx,0.002894017,-7.837354e+07
436,-1.0,48,yy,-7.837362e+07,-7.837354e+07
437,-1.0,48,yz,-36.950794,-7.837354e+07
438,-1.0,48,zx,-0.015734479,-7.837354e+07
439,-1.0,48,zy,-36.950794,-7.837354e+07
440,-1.0,48,zz,-9.765236e+07,-7.837354e+07
441,-1.0,49,xx,-7.837354e+07,-7.837354e+07
442,-1.0,49,xy,0.007906659,-7.837354e+07
443,-1.0,49,xz,-0.02345086,-7.837354e+07
444,-1.0,49,yx,0.007906659,-7.837354e+07
445,-1.0,49,yy,-7.837362e+07,-7.837354e+07
446,-1.0,49,yz,-37.36555,-7.837354e+07
447,-1.0,49,zx,-0.02345086,-7.837354e+07
448,-1.0,49,zy,-37.36555,-7.837354e+07
449,-1.0,49,zz,-9.765236e+07,-7.837354e+07
450,-1.0,50,xx,-7.837354e+07,-7.837354e+07
451,-1.0,50,xy,0.00431105,-7.837354e+07
452,-1.0,50,xz,-0.029547539,-7.837354e+07
453,-1.0,50,yx,0.00431105,-7.837354e+07
454,-1.0,50,yy,-7.837362e+07,-7.837354e+07
455,-1.0,50,yz,-37.75774,-7.837354e+07
456,-1.0,50,zx,-0.029547539,-7.837354e+07
457,-1.0,50,zy,-37.75774,-7.837354e+07
458,-1.0,50,zz,-9.765236e+07,-7.837354e+07
459,-1.0,51,xx,-7.837354e+07,-7.837354e+07
460,-1.0,51,xy,0.0028008036,-7.837354e+07
461,-1.0,51,xz,-0.035491243,-7.837354e+07
462,-1.0,51,yx,0.0028008036,-7.837354e+07
463,-1.0,51,yy,-7.837362e+07,-7.837354e+07
464,-1.0,51,yz,-38.1466,-7.837354e+07
465,-1.0,51,zx,-0.035491243,-7.837354e+07
466,-1.0,51,zy,-38.1466,-7.837354e+07
467,-1.0,51,zz,-9.765236e+07,-7.837354e+07
468,-1.0,52,xx,-7.837354e+07,-7.837354e+07
469,-1.0,52,xy,-0.01089323,-7.837354e+07
470,-1.0,52,xz,-0.023044161,-7.837354e+07
471,-1.0,52,yx,-0.01089323,-7.837354e+07
472,-1.0,52,yy,-7.837362e+07,-7.837354e+07
473,-1.0,52,yz,-38.452732,-7.837354e+07
474,-1.0,52,zx,-0.023044161,-7.837354e+07
475,-1.0,52,zy,-38.452732,-7.837354e+07
476,-1.0,52,zz,-9.765236e+07,-7.837354e+07
477,-1.0,53,xx,-7.837354e+07,-7.837354e+07
478,-1.0,53,xy,-0.0036461242,-7.837354e+07
479,-1.0,53,xz,-0.025952986,-7.837354e+07
480,-1.0,53,yx,-0.0036461242,-7.837354e+07
481,-1.0,53,yy,-7.837362e+07,-7.837354e+07
482,-1.0,53,yz,-38.76423,-7.837354e+07
483,-1.0,53,zx,-0.025952986,-7.837354e+07
484,-1.0,53,zy,-38.76423,-7.837354e+07
